distanciaNumero,distanciaDescripcion,banderaId,lat,lng,sucursalNombre,id,sucursalTipo,provincia,direccion,banderaDescripcion,localidad,comercioRazonSocial,comercioId,sucursalId
0.4546,0.45 kilómetros,2,-34.923011,-57.949931,La Plata II,10-2-144,Supermercado,AR-B,Calle 12 1200,Market,La Plata,INC S.A.,10,144
0.5179,0.52 kilómetros,1,-34.9236,-57.9495,BAZAR AVENIDA SA - La Plata,2008-1-191,Tradicional,AR-B,Calle 12 1226,MEGATONE,La Plata,BAZAR AVENIDA S.A.,2008,191
0.538,0.54 kilómetros,1,-34.9168,-57.9562,Pinocho VIII.,9-1-640,Supermercado,AR-B,Calle 47 Noreste 0,Vea,LA PLATA,Jumbo Retail Argentina S.A.,9,640
0.7443,0.74 kilómetros,1,-34.9221623,-57.9626283,5475 - LA PLATA,15-1-5475,Autoservicio,AR-B,Calle 48 N944 None,Supermercados DIA,BUENOS AIRES,DIA Argentina S.A,15,5475
0.8551,0.86 kilómetros,1,-34.913786,-57.953546,LA PLATA,2003-1-7780,Tradicional,AR-B,Calle 8 735,Samsung,LA PLATA,GMRA S.A.,2003,7780
0.884,0.88 kilómetros,1,-34.9136105,-57.9528001,La Plata,2005-1-76,Supermercado,AR-B,Calle 47 630,Naldo,La Plata,Naldo Lombardi SA,2005,76
0.9165,0.92 kilómetros,2,-34.913497,-57.951821,La Plata I,10-2-109,Supermercado,AR-B,Calle 7 767,Market,La Plata,INC S.A.,10,109
0.9617,0.96 kilómetros,1,-34.9129897,-57.9522388,LaPlata [Av. N° 7 n° 743],24-1-202,Supermercado,AR-B,Av. N° 7 743,SIMPLICITY,LA PLATA,Farmacity S.A.,24,202
0.9708,0.97 kilómetros,1,-34.91841417701545,-57.94456619607063,La Plata,13-1-136,Hipermercado,AR-B,Avenida 7 1224,Cooperativa Obrera Limitada de Consumo y Vivienda,La Plata,Cooperativa Obrera Limitada de Consumo y Vivienda,13,136
0.9722,0.97 kilómetros,1,-34.930175,-57.953545,LA PLATA,3-1-65,Autoservicio,AR-B,Diagonal 74 Esq. 18 Y 19 2291,DEHEZA S.A.I.C.F. e I.,LA PLATA,Deheza S.A.I.C.F. e I.,3,65
1.0449,1.04 kilómetros,1,-34.9132587,-57.9601721,LA PLATA ,12-1-149,Supermercado,AR-B,Calle 43 782,COTO CICSA,La Plata,Coto Centro Integral de Comercialización S.A.,12,149
1.1187,1.12 kilómetros,1,-34.911498,-57.956494,LA PLATA,3-1-66,Autoservicio,AR-B,Av. 7 Esq. 45 641,DEHEZA S.A.I.C.F. e I.,LA PLATA,Deheza S.A.I.C.F. e I.,3,66
