distanciaNumero,distanciaDescripcion,banderaId,lat,lng,sucursalNombre,id,sucursalTipo,provincia,direccion,banderaDescripcion,localidad,comercioRazonSocial,comercioId,sucursalId
0.1019,0.10 kilómetros,2,-27.45969,-58.984222,CHAPeron 2 [Peron 100],24-2-126,Supermercado,AR-H,Peron 100,FARMACITY,Resistencia,Farmacity S.A.,24,126
0.3124,0.31 kilómetros,2,-27.46272,-58.98592,CHALASHERAS [Las Heras 736],24-2-163,Autoservicio,AR-H,Las Heras 736,FARMACITY,Resistencia,Farmacity S.A.,24,163
0.4037,0.40 kilómetros,1,-27.463383,-58.986470,Resistencia Las Heras,2000-1-534,Tienda Fisica,AR-H,Av. Las Heras 790,MUSIMUNDO,RESISTENCIA,CARSA SA,2000,534
0.6483,0.65 kilómetros,2,-27.45917,-58.97752,CHA9DEJULIO [Av. 9 de Julio 1050],24-2-148,Autoservicio,AR-H,Av. 9 De Julio 1050,FARMACITY,Resistencia,Farmacity S.A.,24,148
0.6808,0.68 kilómetros,1,-27.45464,-58.98205,ACA RESISTENCIA,19-1-01335,Autoservicio,AR-B,9 De Julio 499 0,FULL,RESISTENCIA,Operadora de Estaciones de Servicios S.A.,19,01335
0.7633,0.76 kilómetros,2,-27.45395,-58.98606,CHAResistencia [Jose Maria Paz 151],24-2-104,Autoservicio,AR-H,Jose Maria Paz 151,FARMACITY,Resistencia,Farmacity S.A.,24,104
0.7714,0.77 kilómetros,1,-27.453600,-58.983940,CHA - Resistencia - Av 9 de julio ,2009-1-5,Supermercado,AR-H,Av. 9 De Julio 302,CETROGAR,Resistencia,CETROGAR  S.A,2009,5
0.9502,0.95 kilómetros,1,-27.4551,-58.9913,Resistencia,9-1-674,Supermercado,AR-H,Avenida Alberdi Juan Bautista 528,Vea,RESISTENCIA,Jumbo Retail Argentina S.A.,9,674
1.0545,1.05 kilómetros,1,-27.4521613,-58.9889032,Resistencia,2002-1-124,Tradicional,AR-H,Juan Domingo Peron 75,Fravega,Resistencia,FRAVEGA S A C I E I,2002,124
1.0815,1.08 kilómetros,2,-27.45081,-58.98434,CHAIRIGOYEN [Guemes 101],24-2-155,Supermercado,AR-H,Guemes 101,FARMACITY,Resistencia,Farmacity S.A.,24,155
1.1212,1.12 kilómetros,1,-27.451799,-58.989561,Resistencia Perón,2000-1-14,Tienda Fisica,AR-H,Juan D. Perón 131,MUSIMUNDO,RESISTENCIA,CARSA SA,2000,14
1.1471,1.15 kilómetros,1,-27.4515,-58.9895,BAZAR AVENIDA SA - Resistencia,2008-1-445,Tradicional,AR-H,Juan Domingo Peron 147,MEGATONE,Resistencia,BAZAR AVENIDA S.A.,2008,445
1.1479,1.15 kilómetros,1,-27.4514458,-58.9894067,Chaco,2005-1-80,Supermercado,AR-H,Presidente Juan Domingo Perón 146,Naldo,Resistencia,Naldo Lombardi SA,2005,80
1.2037,1.20 kilómetros,1,-27.451196,-58.990058,CHA - Resistencia - Vedia,2009-1-7,Supermercado,AR-H,Juan Domingo Peron 201,CETROGAR,Resistencia,CETROGAR  S.A,2009,7
1.3187,1.32 kilómetros,2,-27.450556,-58.976669,CHAGuemes [Guemes 475],24-2-125,Supermercado,AR-H,Guemes 475,FARMACITY,Resistencia,Farmacity S.A.,24,125
1.7429,1.74 kilómetros,2,-27.445180,-58.980210,CHASarmiento [Av. Sarmiento 744],24-2-174,Supermercado,AR-H,Av. Sarmiento 744,FARMACITY,Resistencia,Farmacity S.A.,24,174
2.4361,2.44 kilómetros,1,-27.438800,-58.987383,Resistencia II,10-1-44,Hipermercado,AR-H,Av. Ávalos None,Hipermercado Carrefour,Resistencia,INC S.A.,10,44
3.2958,3.30 kilómetros,1,-27.436114,-59.002872,CHA - Resistencia - Ecommerce,2009-1-80,Web,AR-H,Av. 25 De Mayo 1850,CETROGAR,Resistencia,CETROGAR  S.A,2009,80
3.7661,3.77 kilómetros,1,-27.431051,-58.965000,CHA - Resistencia - SH Av Sarmiento ,2009-1-83,Supermercado,AR-H,Av. Sarmiento 2400,CETROGAR,Resistencia,CETROGAR  S.A,2009,83
4.0139,4.01 kilómetros,5,-27.446553,-59.021331,Resistencia,11-5-1058,Hipermercado,AR-H,Avenida Marconi 2279,Walmart SuperCenter,RESISTENCIA,Wal Mart Argentina S.R.L.,11,1058
4.844,4.84 kilómetros,1,-27.482914,-58.941780,CHA - Barranqueras - Diag Eva Peron ,2009-1-14,Supermercado,AR-H,Diagonal Eva Peron 570,CETROGAR,Barranqueras,CETROGAR  S.A,2009,14
5.1609,5.16 kilómetros,1,-27.482772,-58.938003,Barranqueras,2000-1-138,Tienda Fisica,AR-H,Don Orione 701,MUSIMUNDO,BARRANQUERAS,CARSA SA,2000,138
5.5236,5.52 kilómetros,1,-27.412649,-58.968498,EASY RESISTENCIA,3001-1-168,Supermercado,AR-H,Ruta Nacional 16 Y Avenida Sabin 0,EASY,CHACO,EASY S.A.,3001,168
5.8798,5.88 kilómetros,1,-27.407530,-58.982070,Local M.com,2000-1-494,Tienda Virtual,AR-H,"Ruta Nicolas Avellaneda Km.15,5 0",MUSIMUNDO,RESISTENCIA,CARSA SA,2000,494
7.1323,7.13 kilómetros,1,-27.417031,-59.037020,Fontana,2000-1-838,Tienda Fisica,AR-H,"Jujuy - Loc.11,12,13 - 4800",MUSIMUNDO,FONTANA,CARSA SA,2000,838
9.097,9.10 kilómetros,1,-27.44068,-58.89462,ACA BARRANQUERAS,19-1-01317,Autoservicio,AR-H,Ruta Nacional 16 Km 6 (Asc) 0,FULL,ANTEQUERAS,Operadora de Estaciones de Servicios S.A.,19,01317
14.5306,14.53 kilómetros,1,-27.4675520,-58.8371154,Corrientes 2,2002-1-123,Tradicional,AR-W,Junin 1178,Fravega,Corrientes,FRAVEGA S A C I E I,2002,123
14.6293,14.63 kilómetros,1,-27.467489,-58.836112,Corrientes 1 - Junin,2000-1-2,Tienda Fisica,AR-W,Junin 1143,MUSIMUNDO,CORRIENTES,CARSA SA,2000,2
14.781,14.78 kilómetros,1,-27.4679,-58.8346,BAZAR AVENIDA SA - Corrientes,2008-1-442,Tradicional,AR-W,Junin 1284,MEGATONE,Corrientes,BAZAR AVENIDA S.A.,2008,442
14.7943,14.79 kilómetros,1,-27.467515,-58.834442,CRR - Corrientes - Cordoba ,2009-1-25,Supermercado,AR-W,Cordoba 873,CETROGAR,Corrientes,CETROGAR  S.A,2009,25
14.8375,14.84 kilómetros,2,-27.467798,-58.834021,Corrientes Junin,10-2-110,Hipermercado,AR-W,Junín 1336,Market,Corrientes,INC S.A.,10,110
14.8418,14.84 kilómetros,1,-27.467862,-58.833982,CRR - Corrientes - PE Junin ,2009-1-27,Supermercado,AR-W,Peatonal 1326,CETROGAR,Corrientes,CETROGAR  S.A,2009,27
15.2629,15.26 kilómetros,1,-27.476792,-58.830569,Corrientes 2 - Maipú,2000-1-172,Tienda Fisica,AR-W,Av.Maipu 25,MUSIMUNDO,CORRIENTES,CARSA SA,2000,172
16.7101,16.71 kilómetros,1,-27.477092,-58.815872,Corrientes,10-1-159,Hipermercado,AR-W,Av. Ferré 2985,Hipermercado Carrefour,Corrientes,INC S.A.,10,159
17.1632,17.16 kilómetros,1,-27.487049,-58.812821,CRR - Corrientes - Cazad Correntinos,2009-1-26,Supermercado,AR-W,Cazadores Correntinos 3249,CETROGAR,Corrientes,CETROGAR  S.A,2009,26
17.2865,17.29 kilómetros,1,-27.471520,-58.809459,CRR - Corrientes - SH Av Alfonsin,2009-1-110,Supermercado,AR-W,Av. Raul Alfonsin 3525,CETROGAR,Corrientes,CETROGAR  S.A,2009,110
17.4774,17.48 kilómetros,1,-27.472061,-58.807566,Corrientes 3 - Centenario,2000-1-569,Tienda Fisica,AR-W,Avenida Centenario 3525,MUSIMUNDO,CORRIENTES,CARSA SA,2000,569
17.482,17.48 kilómetros,1,-27.472329,-58.807542,CENTENARIO SHOPPING,2003-1-7720,Tradicional,AR-W,Avenida Raul Alfonsin 3525,Samsung,CORRIENTES,GMRA S.A.,2003,7720
17.4862,17.49 kilómetros,2,-27.500421,-58.812722,Corrientes,11-2-1085,Hipermercado,AR-W,Avenida Maipú Y Los Cóndores None,Changomas,CORRIENTES,Wal Mart Argentina S.R.L.,11,1085
17.6245,17.62 kilómetros,5,-27.470050,-58.805927,Corrientes,11-5-1008,Hipermercado,AR-W,Gregorio Pomar 840,Walmart SuperCenter,CORRIENTES,Wal Mart Argentina S.R.L.,11,1008
