distanciaNumero,distanciaDescripcion,banderaId,lat,lng,sucursalNombre,id,sucursalTipo,provincia,direccion,banderaDescripcion,localidad,comercioRazonSocial,comercioId,sucursalId
0.1298,0.13 kilómetros,1,-32.94598,-60.640287,SAFE-ROSARIO-CORDOBA PEAT-MU,2011-1-70,Supermercado,AR-S,Cordoba 1256,Musimundo,ROSARIO,Electronica Megatone S.A,2011,70
0.1877,0.19 kilómetros,1,-32.946630,-60.637325,Sfe. Rosario [Peatonal Cordoba 1025],24-1-292,Supermercado,AR-S,Peatonal Cordoba 1025,SIMPLICITY,Rosario,Farmacity S.A.,24,292
0.2747,0.27 kilómetros,1,-32.94798,-60.636724,SAFE-ROSARIO-RIOJA-MU,2011-1-23,Supermercado,AR-S,Rioja 998,Musimundo,ROSARIO,Electronica Megatone S.A,2011,23
0.2961,0.30 kilómetros,1,-32.9462,-60.6424,BAZAR AVENIDA SA - Rosario II,2008-1-643,Tradicional,AR-S,Peatonal Cordoba 1235,MEGATONE,Rosario,BAZAR AVENIDA S.A.,2008,643
0.3259,0.33 kilómetros,1,-32.94597,-60.642656,SAFE-ROSARIO-CORDOBA PEAT-ME,2011-1-289,Supermercado,AR-S,Cordoba 1256,Musimundo,ROSARIO,Electronica Megatone S.A,2011,289
0.4284,0.43 kilómetros,1,-32.94297,-60.63895,ROSARIO URQUIZA,19-1-00812,Autoservicio,AR-S,Mitre Y Urquiza 0,FULL,Rosario,Operadora de Estaciones de Servicios S.A.,19,00812
0.4376,0.44 kilómetros,1,-32.943048,-60.637946,Urquiza,22-1-3,Supermercado,AR-S,Urquiza 1145,La Gallega,Rosario,La Gallega Supermercados S.A.,22,3
0.6252,0.63 kilómetros,1,-32.945123,-60.645696,DEL SIGLO ROSARIO,2003-1-7550,Tradicional,AR-S,Cordoba 1643,Samsung,ROSARIO,GMRA S.A.,2003,7550
0.7152,0.72 kilómetros,1,-32.94345,-60.64584,ESPAÑA,19-1-03296,Autoservicio,AR-S,Santa Fe 1694 0,FULL,ROSARIO,Operadora de Estaciones de Servicios S.A.,19,03296
0.7773,0.78 kilómetros,1,-32.9416062,-60.6448748,ROSARIO,12-1-97,Hipermercado,AR-S,Urquiza 1644,COTO CICSA,Rosario,Coto Centro Integral de Comercialización S.A.,12,97
