distanciaNumero,distanciaDescripcion,banderaId,lat,lng,sucursalNombre,id,sucursalTipo,provincia,direccion,banderaDescripcion,localidad,comercioRazonSocial,comercioId,sucursalId
0.2093,0.21 kilómetros,1,-24.787703,-65.411040,SAL - Salta - Av Belgrano ,2009-1-107,Supermercado,AR-A,Av. Belgrano Esq. Mitre None,CETROGAR,Salta,CETROGAR  S.A,2009,107
0.2289,0.23 kilómetros,1,-24.7846,-65.4099,Mitre..,9-1-40,Supermercado,AR-A,Mitre 549 0,Vea,SALTA,Jumbo Retail Argentina S.A.,9,40
0.4074,0.41 kilómetros,1,-24.789072,-65.413699,Salta,10-1-112,Hipermercado,AR-A,20 De Febrero 37,Hipermercado Carrefour,Salta,INC S.A.,10,112
0.4876,0.49 kilómetros,1,-24.7903,-65.4118,Salta V.,9-1-658,Supermercado,AR-A,Florida 50,Vea,SALTA,Jumbo Retail Argentina S.A.,9,658
0.5598,0.56 kilómetros,1,-24.7814935,-65.4143692,8005 - SALTA,15-1-8005,Autoservicio,AR-A,25 De Mayo 652 None,Supermercados DIA,SALTA,DIA Argentina S.A,15,8005
0.6317,0.63 kilómetros,1,-24.7871267,-65.4177599,821 - JOAQUIN V GONZALEZ,15-1-821,Autoservicio,AR-A,Av Gral. Guemes 170,Supermercados DIA,SALTA,DIA Argentina S.A,15,821
0.7359,0.74 kilómetros,1,-24.792528,-65.411173,SALT-SALTA-ALBERDI PEAT-MU,2011-1-234,Supermercado,AR-A,Peatonal Alberdi 202,Musimundo,SALTA,Electronica Megatone S.A,2011,234
0.7562,0.76 kilómetros,1,-24.7927,-65.411,BAZAR AVENIDA SA - Salta,2008-1-410,Tradicional,AR-A,Alberdi 233,MEGATONE,Salta,BAZAR AVENIDA S.A.,2008,410
0.8136,0.81 kilómetros,1,-24.7932202,-65.4110054,Salta,2005-1-72,Supermercado,AR-A,Peatonal Juan Bautista Alberdi 283,Naldo,Salta,Naldo Lombardi SA,2005,72
0.833,0.83 kilómetros,1,-24.793416,-65.411394,SAL - Salta - PE J B Alberdi ,2009-1-22,Supermercado,AR-A,Juan Bautista Alberdi 291,CETROGAR,Salta,CETROGAR  S.A,2009,22
0.8363,0.84 kilómetros,2,-24.782370,-65.40435,SALPeatonal [Alberdi 84],24-2-111,Supermercado,AR-A,Alberdi 84,FARMACITY,Salta,Farmacity S.A.,24,111
0.8946,0.89 kilómetros,1,-24.7779849,-65.4099025,1800 - SALTA,15-1-1800,Autoservicio,AR-A,Mitre 960 (Salta Capital) None,Supermercados DIA,SALTA,DIA Argentina S.A,15,1800
0.9227,0.92 kilómetros,1,-24.7939,-65.4142,"Ituzaingó, Salta",9-1-731,Supermercado,AR-A,Ituzaingó N° 374/376 374,Vea,SALTA,Jumbo Retail Argentina S.A.,9,731
0.9626,0.96 kilómetros,2,-24.781376,-65.403533,SALNoa [Av. Virrey Toledo 702],24-2-129,Autoservicio,AR-A,Av. Virrey Toledo 702,FARMACITY,Salta,Farmacity S.A.,24,129
0.9838,0.98 kilómetros,2,-24.777182,-65.409803,Ameghino [Calle ameghino 593/95/97/,24-2-251,Autoservicio,AR-A,Calle Ameghino 593/95/ 97,FARMACITY,Salta,Farmacity S.A.,24,251
1.0062,1.01 kilómetros,1,-24.781000,-65.403282,ALTO NOA SALTA,2003-1-7540,Tradicional,AR-A,Avenida Del Bicentenario De La Batalla De Salta 702,Samsung,SALTA,GMRA S.A.,2003,7540
1.0519,1.05 kilómetros,1,-24.7789448,-65.4045791,811 - SALTA,15-1-811,Autoservicio,AR-A,Vicente Lopez Esq. Necochea None,Supermercados DIA,SALTA,DIA Argentina S.A,15,811
1.0597,1.06 kilómetros,1,-24.795180,-65.414204,Comodin 18,6-1-18,Supermercado,AR-A,Ituzaingo 440,Supermercados Comodin,Salta,Alberdi S.A.,6,18
1.0631,1.06 kilómetros,1,-24.7880714,-65.4219001,8013 - SALTA,15-1-8013,Autoservicio,AR-A,Brown 70,Supermercados DIA,SALTA,DIA Argentina S.A,15,8013
1.0675,1.07 kilómetros,1,-24.7767,-65.4148,Salta IV.,9-1-657,Supermercado,AR-A,Avenida Sarmiento Y O´Higgins 0,Vea,SALTA,Jumbo Retail Argentina S.A.,9,657
1.0765,1.08 kilómetros,1,-24.78025,-65.40300,SALTA,19-1-03330,Autoservicio,AR-A,Virrey Toledo Y Roldan 0,FULL,SALTA,Operadora de Estaciones de Servicios S.A.,19,03330
1.1326,1.13 kilómetros,1,-24.781285,-65.401667,Salta III,10-1-171,Hipermercado,AR-A,Av. Bicentenario Batalla De Salta 702,Hipermercado Carrefour,Salta,INC S.A.,10,171
1.2563,1.26 kilómetros,1,-24.7958,-65.4056,Parque San Martín - Salta.,9-1-980,Supermercado,AR-A,Mendoza 225,Vea,SALTA,Jumbo Retail Argentina S.A.,9,980
1.448,1.45 kilómetros,1,-24.7981,-65.4168,Esteco.,9-1-64,Supermercado,AR-A,Esteco Y Rioja 0,Vea,SALTA,Jumbo Retail Argentina S.A.,9,64
1.4786,1.48 kilómetros,3,-24.7726,-65.4129,Jumbo Salta,9-3-5251,Hipermercado,AR-A,20 De Febrero 1437,Jumbo,SALTA,Jumbo Retail Argentina S.A.,9,5251
1.5747,1.57 kilómetros,2,-24.78609,-65.42723,SAL BELGRANO [Av. Bel. Esq. Rep. de Siria],24-2-134,Autoservicio,AR-A,Av. Belgrano 1789,FARMACITY,Salta,Farmacity S.A.,24,134
1.5817,1.58 kilómetros,1,-24.77165,-65.412645,EASY SALTA,3001-1-151,Supermercado,AR-A,20 De Febrero 1437,EASY,SALTA,EASY S.A.,3001,151
1.7392,1.74 kilómetros,1,-24.779652,-65.427437,Salta VII,10-1-175,Hipermercado,AR-A,Av. Entre Ríos 1816,Hipermercado Carrefour,Salta,INC S.A.,10,175
1.81,1.81 kilómetros,1,-24.797052,-65.398579,815 - SALTA,15-1-815,Autoservicio,AR-A,Cordoba 765,Supermercados DIA,SALTA,DIA Argentina S.A,15,815
1.8134,1.81 kilómetros,1,-24.801740,-65.416186,Comodin 9,6-1-9,Supermercado,AR-A,Pellegrini 953,Supermercados Comodin,Salta,Alberdi S.A.,6,9
2.0937,2.09 kilómetros,1,-24.7869634,-65.4323303,8006 - SALTA,15-1-8006,Autoservicio,AR-A,España 2195,Supermercados DIA,SALTA,DIA Argentina S.A,15,8006
2.2901,2.29 kilómetros,2,-24.804821,-65.420784,Salta,11-2-1011,Hipermercado,AR-A,Av Paraguay 1450,Changomas,SALTA,Wal Mart Argentina S.R.L.,11,1011
2.3015,2.30 kilómetros,1,-24.7947076,-65.4322727,803 - SALTA,15-1-803,Autoservicio,AR-A,Olavarria 506 (Salta Capital) None,Supermercados DIA,SALTA,DIA Argentina S.A,15,803
2.4996,2.50 kilómetros,1,-24.808297,-65.408656,Comodin 23,6-1-23,Supermercado,AR-A,Avda. Independencia 578,Supermercados Comodin,Salta,Alberdi S.A.,6,23
2.7849,2.78 kilómetros,1,-24.808249,-65.399047,806 - SALTA,15-1-806,Autoservicio,AR-A,Av Independencia 1325 (Salta Capital) None,Supermercados DIA,SALTA,DIA Argentina S.A,15,806
3.209,3.21 kilómetros,1,-24.811541,-65.426427,1802 - SALTA,15-1-1802,Autoservicio,AR-A,Avjose Contreras Esq.Alfredo Palacios None,Supermercados DIA,SALTA,DIA Argentina S.A,15,1802
3.2451,3.25 kilómetros,1,-24.8034671,-65.4373408,8008 - SALTA,15-1-8008,Autoservicio,AR-A,Miguel De Azcuenaga 2295,Supermercados DIA,SALTA,DIA Argentina S.A,15,8008
3.3509,3.35 kilómetros,1,-24.7581,-65.3986,Tres Cerritos.,9-1-110,Supermercado,AR-A,Avenida Reyes Catolicos 1480,Vea,SALTA,Jumbo Retail Argentina S.A.,9,110
3.6833,3.68 kilómetros,1,-24.769449,-65.443309,810 - SALTA,15-1-810,Autoservicio,AR-A,Av Savio Esq. Juan Domingo Peron None,Supermercados DIA,SALTA,DIA Argentina S.A,15,810
3.7619,3.76 kilómetros,1,-24.79814367,-65.37696159,1804 - SALTA,15-1-1804,Autoservicio,AR-A,Av Ciudad De Asuncion S/N Entre Galvez Y Sirolli None,Supermercados DIA,SALTA,DIA Argentina S.A,15,1804
4.0882,4.09 kilómetros,1,-24.812077,-65.383161,820 - SALTA,15-1-820,Autoservicio,AR-A,Av De Las Americas 955,Supermercados DIA,SALTA,DIA Argentina S.A,15,820
5.2842,5.28 kilómetros,1,-24.831431,-65.427246,PASEO SALTA,2003-1-7470,Tradicional,AR-A,Avenida Monseñor Roberto Jose Tavella None,Samsung,SALTA,GMRA S.A.,2003,7470
5.5134,5.51 kilómetros,1,-24.835587,-65.408501,1805 - SALTA,15-1-1805,Autoservicio,AR-A,Rp 26 Km2 Camino A La Isla None,Supermercados DIA,SALTA,DIA Argentina S.A,15,1805
6.2153,6.22 kilómetros,1,-24.7298,-65.4127,Ciudad Judicial,9-1-655,Supermercado,AR-A,"Avenida Houssay Dr Bernardo, Esq. Colectora 0",Vea,SALTA,Jumbo Retail Argentina S.A.,9,655
6.519,6.52 kilómetros,1,-24.8414,-65.4331,Salta Sur,9-1-656,Supermercado,AR-A,Av. Ex Combatientes De Malvinas 3900,Vea,SALTA,Jumbo Retail Argentina S.A.,9,656
6.6772,6.68 kilómetros,2,-24.726100,-65.403373,Salta Ciudad Judicial,11-2-1075,Hipermercado,AR-A,Avenida Fuerza Aerea Esq. Aguas Blancas None,Changomas,BARRIO CASTAÑARES,Wal Mart Argentina S.R.L.,11,1075
7.3553,7.36 kilómetros,1,-24.719693,-65.406139,1801 - SALTA,15-1-1801,Autoservicio,AR-A,Ejercito Argentino Y Batalla De Salta(Salta Capital ) None,Supermercados DIA,SALTA,DIA Argentina S.A,15,1801
7.3565,7.36 kilómetros,1,-24.849116,-65.43395,813 - SALTA,15-1-813,Autoservicio,AR-A,Las Golondrinas 1512,Supermercados DIA,SALTA,DIA Argentina S.A,15,813
12.5069,12.51 kilómetros,1,-24.8857,-65.469513,8016 - SALTA,15-1-8016,Autoservicio,AR-A,Juan Manuel De Rosas Esquina Balbin None,Supermercados DIA,SALTA,DIA Argentina S.A,15,8016
15.272,15.27 kilómetros,1,-24.905302,-65.48719,819 - CERRILLOS,15-1-819,Autoservicio,AR-A,Cabred 23,Supermercados DIA,SALTA,DIA Argentina S.A,15,819
27.7684,27.77 kilómetros,1,-24.9856165,-65.5777397,8009 - SALTA,15-1-8009,Autoservicio,AR-A,Sarmiento Esquina Torino None,Supermercados DIA,SALTA,DIA Argentina S.A,15,8009
39.1064,39.11 kilómetros,1,-24.671542,-65.045994,8017 - SALTA,15-1-8017,Autoservicio,AR-A,Cabred 23,Supermercados DIA,SALTA,DIA Argentina S.A,15,8017
39.1293,39.13 kilómetros,1,-24.672983,-65.045217,SALT-GRAL GUEMES-SM-MU,2011-1-245,Autoservicio,AR-A,San Martin 15,Musimundo,GENERAL GUEMES,Electronica Megatone S.A,2011,245
39.1593,39.16 kilómetros,1,-24.674022,-65.044521,SAL - G Güemes - L N Alem ,2009-1-59,Supermercado,AR-A,Leandro N. Alem 202,CETROGAR,General Guemes,CETROGAR  S.A,2009,59
45.2971,45.30 kilómetros,1,-24.443343,-65.1674,823 - MONTERRICO,15-1-823,Autoservicio,AR-J,Independencia 440 None,Supermercados DIA,JUJUY,DIA Argentina S.A,15,823
46.5588,46.56 kilómetros,1,-24.387603,-65.264866,8018 - JUJUY,15-1-8018,Autoservicio,AR-J,Belgrano 620,Supermercados DIA,JUJUY,DIA Argentina S.A,15,8018
53.9077,53.91 kilómetros,1,-24.378393,-65.120764,Comodin 8,6-1-8,Supermercado,AR-Y,Coronel Arias 450,Supermercados Comodin,Perico,Alberdi S.A.,6,8
54.0983,54.10 kilómetros,1,-24.377394,-65.118997,1808 - PERICO DEL CARMEN,15-1-1808,Autoservicio,AR-J,Av San Martin 310 None,Supermercados DIA,JUJUY,DIA Argentina S.A,15,1808
54.2163,54.22 kilómetros,1,-24.37872,-65.11469,JUJU-PERICO-MORENO-MU,2011-1-238,Autoservicio,AR-Y,Mariano Moreno 453,Musimundo,PERICO,Electronica Megatone S.A,2011,238
54.4227,54.42 kilómetros,1,-24.375638,-65.116091,Comodin 10,6-1-10,Supermercado,AR-Y,Avda. Belgrano Esq. 9 De Julio None,Supermercados Comodin,Perico,Alberdi S.A.,6,10
62.3006,62.30 kilómetros,2,-24.246972,-65.235856,Maxi Comodin,6-2-1,Hipermercado,AR-Y,Ruta Nac. 66 Km 5 1/2 None,Maxi Comodin,Palpala,Alberdi S.A.,6,1
62.6527,62.65 kilómetros,1,-24.236789,-65.263490,Comodin 7,6-1-7,Supermercado,AR-Y,Avda. Carlos Undeano 981,Supermercados Comodin,San Salvador de Jujuy,Alberdi S.A.,6,7
62.7,62.70 kilómetros,1,-24.252255,-65.205416,1807 - PALPALA,15-1-1807,Autoservicio,AR-J,Republica De La India Esq.Martijena None,Supermercados DIA,JUJUY,DIA Argentina S.A,15,1807
63.6036,63.60 kilómetros,1,-24.247184,-65.194523,JUJU-PALPALA-PEREZ-MU,2011-1-247,Autoservicio,AR-Y,Sdor Perez 132,Musimundo,PALPALA,Electronica Megatone S.A,2011,247
64.611,64.61 kilómetros,1,-24.216700,-65.272455,Comodin 14,6-1-14,Supermercado,AR-Y,Avda. Corrientes 3141,Supermercados Comodin,San Salvador de Jujuy,Alberdi S.A.,6,14
64.93,64.93 kilómetros,2,-24.210677,-65.288497,Jujuy,11-2-1031,Hipermercado,AR-Y,Riobamba Y Ruta 9 None,Changomas,SAN SALVADOR DE JUJUY,Wal Mart Argentina S.R.L.,11,1031
