distanciaNumero,distanciaDescripcion,banderaId,lat,lng,sucursalNombre,id,sucursalTipo,provincia,direccion,banderaDescripcion,localidad,comercioRazonSocial,comercioId,sucursalId
1.0797,1.08 kilómetros,1,-31.5355656,-68.5252472,San Juan,2005-1-55,Supermercado,AR-J,Tucuman Sur 124,Naldo,San Juan,Naldo Lombardi SA,2005,55
1.156,1.16 kilómetros,1,-31.5357,-68.5244,Vea 48.,9-1-417,Supermercado,AR-J,General Acha 130,Vea,SAN JUAN,Jumbo Retail Argentina S.A.,9,417
1.1715,1.17 kilómetros,1,-31.534016,-68.524744,San Juan,10-1-123,Supermercado,AR-J,Gral. Acha 32,Hipermercado Carrefour,San Juan,INC S.A.,10,123
1.2706,1.27 kilómetros,1,-31.53544,-68.523229,SJUA-SAN JUAN-TUC-MU,2011-1-59,Supermercado,AR-J,Tucuman Sur 101,Musimundo,SAN JUAN,Electronica Megatone S.A,2011,59
1.2869,1.29 kilómetros,1,-31.5345,-68.5233,BAZAR AVENIDA SA - San Juan,2008-1-652,Tradicional,AR-J,Tucuman Sur 33,MEGATONE,SAN JUAN,BAZAR AVENIDA S.A.,2008,652
1.5524,1.55 kilómetros,1,-31.5235,-68.5365,Vea 39.,9-1-408,Supermercado,AR-J,Salta Norte 1048,Vea,SAN JUAN,Jumbo Retail Argentina S.A.,9,408
1.6346,1.63 kilómetros,1,-31.5309,-68.5210,Vea 28.,9-1-194,Supermercado,AR-J,25 De Mayo Y Jujuy 0,Vea,SAN JUAN,Jumbo Retail Argentina S.A.,9,194
1.8309,1.83 kilómetros,1,-31.5389,-68.5556,Vea 44.,9-1-413,Supermercado,AR-J,Av. Ignacio De La Roza 1946,Vea,SAN JUAN,Jumbo Retail Argentina S.A.,9,413
1.8603,1.86 kilómetros,1,-31.521277,-68.541382,PASEO SAN JUAN,2003-1-7440,Tradicional,AR-J,Avenida Circunvalacion None,Samsung,SAN JUAN,GMRA S.A.,2003,7440
2.0851,2.09 kilómetros,1,-31.53605,-68.51450,SAN JUAN,19-1-02657,Autoservicio,AR-J,Av. Rawson 216 Sur 0,FULL,SAN JUAN,Operadora de Estaciones de Servicios S.A.,19,02657
2.0968,2.10 kilómetros,1,-31.5358,-68.5144,Vea 45.,9-1-414,Supermercado,AR-J,Avenida Albarracin De Sarmiento Norte Paula 420,Vea,SAN JUAN,Jumbo Retail Argentina S.A.,9,414
2.1158,2.12 kilómetros,1,-31.5358,-68.5142,Vea 46.,9-1-415,Supermercado,AR-J,Diagonal Sarmiento Y Rivadavia Caucete 0,Vea,SAN JUAN,Jumbo Retail Argentina S.A.,9,415
2.155,2.16 kilómetros,1,-31.518637,-68.541856,EASY SAN JUAN,3001-1-123,Supermercado,AR-J,Scalabrini Ortiz 1285,EASY,SAN JUAN - CAPITAL -,EASY S.A.,3001,123
2.1691,2.17 kilómetros,1,-31.54137,-68.51400,ACA SAN JUAN,19-1-02694,Autoservicio,AR-J,9 De Julio Este 902 0,FULL,SAN JUAN,Operadora de Estaciones de Servicios S.A.,19,02694
2.2749,2.27 kilómetros,1,-31.549948,-68.517347,SJUA-SAN JUAN-RIVAD PEAT-MU,2011-1-309,Supermercado,AR-J,General Acha 230,Musimundo,SAN JUAN,Electronica Megatone S.A,2011,309
2.4615,2.46 kilómetros,1,-31.5172,-68.5259,Vea 41.,9-1-410,Supermercado,AR-J,General Acha 1482,Vea,SAN JUAN,Jumbo Retail Argentina S.A.,9,410
3.0712,3.07 kilómetros,2,-31.511110,-68.546211,San Juan Chimbas,11-2-1092,Hipermercado,AR-J,Avenida N. Benavidez Esq. Colón 1050,Changomas,SAN JUAN,Wal Mart Argentina S.R.L.,11,1092
3.1086,3.11 kilómetros,1,-31.5278,-68.5671,Vea 27.,9-1-193,Supermercado,AR-J,Av. Del Libertador 2359,Vea,SAN JUAN,Jumbo Retail Argentina S.A.,9,193
3.261,3.26 kilómetros,1,-31.5667,-68.5323,Vea 51.,9-1-815,Supermercado,AR-J,Republica Del Libano 297,Vea,SAN JUAN,Jumbo Retail Argentina S.A.,9,815
3.4837,3.48 kilómetros,1,-31.539831,-68.572973,ESPACIO SAN JUAN,2003-1-7450,Tradicional,AR-J,Avenida José Ignacio De La Roza 806,Samsung,SAN JUAN,GMRA S.A.,2003,7450
3.534,3.53 kilómetros,5,-31.541112,-68.573364,San Juan,11-5-1006,Hipermercado,AR-J,Jose Ignacio De La Rosa Oeste 806,Walmart SuperCenter,BARRIO RIVADAVIA,Wal Mart Argentina S.R.L.,11,1006
4.2895,4.29 kilómetros,2,-31.575672,-68.543724,Rawson,11-2-1081,Hipermercado,AR-J,Av. Doctor Ortega Y Las Vicentinas None,Changomas,BARRIO RAWSON,Wal Mart Argentina S.R.L.,11,1081
4.9561,4.96 kilómetros,1,-31.5815010,-68.5455632,San Juan - Rawson,2002-1-167,Tradicional,AR-J,Bv. Sarmiento Oeste 861,Fravega,San Juan,FRAVEGA S A C I E I,2002,167
4.9579,4.96 kilómetros,1,-31.5818067,-68.5434192,Rawson,2005-1-70,Autoservicio,AR-J,Boulevard Sarmiento Oeste 651,Naldo,Barrio Rawson,Naldo Lombardi SA,2005,70
4.9591,4.96 kilómetros,1,-31.5292,-68.5877,San Juan,9-1-544,Supermercado,AR-J,Av. Libertador General San Martín 4795,Vea,SAN JUAN,Jumbo Retail Argentina S.A.,9,544
