distanciaNumero,distanciaDescripcion,banderaId,lat,lng,sucursalNombre,id,sucursalTipo,provincia,direccion,banderaDescripcion,localidad,comercioRazonSocial,comercioId,sucursalId
0.1586,0.16 kilómetros,1,-31.64966,-60.707335,SAFE-SANTA FE-SM 2259 PEAT-MU,2011-1-2,Supermercado,AR-S,Gral Jose De San Martin 2259,Musimundo,SANTA FE,Electronica Megatone S.A,2011,2
0.201,0.20 kilómetros,1,-31.649562,-60.7106075,1059 - SANTA FE,15-1-1059,Autoservicio,AR-S,Cl Salta 2817,Supermercados DIA,SANTA FE,DIA Argentina S.A,15,1059
0.243,0.24 kilómetros,1,-31.650868,-60.707800,SFe Capital [San Martin 2148],24-1-282,Supermercado,AR-S,Peatonal San Martín 2148,SIMPLICITY,Santa Fe,Farmacity S.A.,24,282
0.4453,0.45 kilómetros,1,-31.6454,-60.7062,BAZAR AVENIDA SA - Santa Fe,2008-1-605,Tradicional,AR-S,La Rioja 2586,MEGATONE,Santa fe,BAZAR AVENIDA S.A.,2008,605
0.4503,0.45 kilómetros,1,-31.6490499,-60.7039408,SANTA FE PUERTO ,12-1-179,Supermercado,AR-S,27 De Febrero 2320,COTO CICSA,Cuidad De Santa Fe,Coto Centro Integral de Comercialización S.A.,12,179
0.4577,0.46 kilómetros,1,-31.64527,-60.706199,SAFE-SANTA FE-SM 2628 PEAT-MU,2011-1-5,Supermercado,AR-S,Gral Jose De San Martin 2628,Musimundo,SANTA FE,Electronica Megatone S.A,2011,5
0.5567,0.56 kilómetros,2,-31.644262,-60.706195,DIGGIT SANTA FE,2003-2-7902,Tradicional,AR-S,San Martin 2498,DIGGIT,SANTA FE ,GMRA S.A.,2003,7902
0.7093,0.71 kilómetros,1,-31.650976,-60.701644,SAFE-SANTA FE-LA RIBERA SH-MU,2011-1-120,Autoservicio,AR-S,Dique N 1 Puerto Sta Fe None,Musimundo,SANTA FE,Electronica Megatone S.A,2011,120
0.7244,0.72 kilómetros,1,-31.649875,-60.701145,RIBERA SHOPPING SANTA FE,2003-1-7300,Tradicional,AR-S,Dique 1 Puerto De Santa Fe None,Samsung,SANTA FE,GMRA S.A.,2003,7300
1.437,1.44 kilómetros,1,-31.637308,-60.7017017,SANTA FE ,12-1-118,Hipermercado,AR-S,Rivadavia 3396,COTO CICSA,Ciudad De Santa Fe,Coto Centro Integral de Comercialización S.A.,12,118
