distanciaNumero,distanciaDescripcion,banderaId,lat,lng,sucursalNombre,id,sucursalTipo,provincia,direccion,banderaDescripcion,localidad,comercioRazonSocial,comercioId,sucursalId
0.0759,0.08 kilómetros,3,-34.612572,-58.377673,Piedras 383,10-3-291,Autoservicio,AR-C,Piedras 383,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,291
0.2378,0.24 kilómetros,3,-34.613625,-58.374702,Perú 487,10-3-589,Autoservicio,AR-C,Perú 487,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,589
0.2405,0.24 kilómetros,2,-34.612531,-58.374717,Peru [Peru 401],24-2-181,Supermercado,AR-C,Peru 401,FARMACITY,Capital Federal,Farmacity S.A.,24,181
0.2472,0.25 kilómetros,2,-34.612975,-58.374544,DIGGIT PERÚ,2003-2-7980,Tradicional,AR-C,Peru 450,DIGGIT,CABA,GMRA S.A.,2003,7980
0.3504,0.35 kilómetros,3,-34.616166,-58.376096,Chile 701,10-3-676,Autoservicio,AR-C,Chile 701,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,676
0.4162,0.42 kilómetros,3,-34.611219,-58.373340,Bolívar 270,10-3-633,Autoservicio,AR-C,Bolívar 270,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,633
0.4649,0.46 kilómetros,3,-34.609305,-58.379243,Tacuarí 89,10-3-571,Autoservicio,AR-C,Tacuarí 89,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,571
0.4933,0.49 kilómetros,3,-34.617396,-58.378826,Proxi Independencia 907,10-3-744,Autoservicio,AR-C,Independencia 907,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,744
0.4948,0.49 kilómetros,2,-34.609617,-58.380522,Yrigoyen [Hipólito Yrigoyen 992/994,24-2-204,Supermercado,AR-C,Hipolito Yrigoyen 992,FARMACITY,Capital Federal,Farmacity S.A.,24,204
0.5088,0.51 kilómetros,2,-34.613219,-58.382776,Monserrat,10-2-386,Supermercado,AR-C,Av. Belgrano 1160,Market,Ciudad Autónoma de Buenos Aires,INC S.A.,10,386
0.5394,0.54 kilómetros,2,-34.61319,-58.38311,BELGRANO [Av. Belgrano 1194 y 1200],24-2-143,Supermercado,AR-C,Av. Belgrano 1194,FARMACITY,Capital Federal,Farmacity S.A.,24,143
