distanciaNumero,distanciaDescripcion,banderaId,lat,lng,sucursalNombre,id,sucursalTipo,provincia,direccion,banderaDescripcion,localidad,comercioRazonSocial,comercioId,sucursalId
0.279,0.28 kilómetros,2,-37.998923,-57.553648,Mar del Plata Centro,10-2-130,Supermercado,AR-B,Catamarca 1965,Market,Mar del Plata,INC S.A.,10,130
0.3478,0.35 kilómetros,1,-37.9997406,-57.5600652,Salta,21-1-5,Supermercado,AR-B,Colon 3350,Toledo,Mar Del Plata,Supermercados Toledo S.A.,21,5
0.3726,0.37 kilómetros,1,-37.9976,-57.5539,BAZAR AVENIDA SA - Mar del Plata II,2008-1-204,Tradicional,AR-B,Av. Independencia 1832,MEGATONE,Mar Del Plata,BAZAR AVENIDA S.A.,2008,204
0.4512,0.45 kilómetros,1,-37.998033,-57.552042,LOS GALLEGOS,2003-1-7560,Tradicional,AR-B,Rivadavia 3050,Samsung,MAR DEL PLATA,GMRA S.A.,2003,7560
0.4723,0.47 kilómetros,1,-37.9978080,-57.5519546,Mar del Plata,2005-1-78,Supermercado,AR-B,Rivadavia 3045,Naldo,Mar Del Plata,Naldo Lombardi SA,2005,78
0.5397,0.54 kilómetros,1,-38.0002989,-57.5500575,Cordoba,21-1-13,Supermercado,AR-B,Rivadavia 2602,Toledo,Mar Del Plata,Supermercados Toledo S.A.,21,13
0.543,0.54 kilómetros,2,-38.0016,-57.5502,San Luis.,9-2-57,Supermercado,AR-B,San Luis 2034,Disco,MAR DEL PLATA,Jumbo Retail Argentina S.A.,9,57
0.6488,0.65 kilómetros,1,-37.994942,-57.553623,BSAS-M DEL PLATA-LURO-MU,2011-1-257,Supermercado,AR-B,Avda Pedro Luro 3302,Musimundo,MAR DEL PLATA,Electronica Megatone S.A,2011,257
0.7054,0.71 kilómetros,1,-37.9953049,-57.5514344,Rioja,21-1-6,Supermercado,AR-B,La Rioja 1445,Toledo,Mar Del Plata,Supermercados Toledo S.A.,21,6
0.7453,0.75 kilómetros,2,-38.000667,-57.547721,Mar del Plata III,10-2-191,Supermercado,AR-B,Córdoba 1830,Market,Mar del Plata,INC S.A.,10,191
0.8626,0.86 kilómetros,2,-38.0072,-57.5514,Alberti.,9-2-59,Supermercado,AR-B,Alberti 2535,Disco,MAR DEL PLATA,Jumbo Retail Argentina S.A.,9,59
0.891,0.89 kilómetros,1,-38.0020818,-57.5462751,Rivadavia,21-1-16,Supermercado,AR-B,Rivadavia 2248,Toledo,Mar Del Plata,Supermercados Toledo S.A.,21,16
0.9385,0.94 kilómetros,1,-37.9922,-57.5587,Luro y Guido,9-1-56,Supermercado,AR-B,Avenida Luro Pedro 3901,Vea,MAR DEL PLATA,Jumbo Retail Argentina S.A.,9,56
1.1667,1.17 kilómetros,1,-38.0075428,-57.546432,Falucho,21-1-8,Supermercado,AR-B,Buenos Aires 2364,Toledo,Mar Del Plata,Supermercados Toledo S.A.,21,8
1.1807,1.18 kilómetros,1,-37.9932042,-57.5660764,Belgrano,21-1-15,Supermercado,AR-B,Belgrano 4150,Toledo,Mar Del Plata,Supermercados Toledo S.A.,21,15
1.2137,1.21 kilómetros,1,-38.00925,-57.54805,ALBERTI,19-1-01728,Autoservicio,AR-B,Alberti 2128 0,FULL,MAR DEL PLATA,Operadora de Estaciones de Servicios S.A.,19,01728
1.4057,1.41 kilómetros,1,-37.9879093,-57.5586834,Guido,21-1-24,Supermercado,AR-B,Balcarce 3902,Toledo,Mar Del Plata,Supermercados Toledo S.A.,21,24
1.4256,1.43 kilómetros,1,-38.0102945,-57.5665797,Pena,21-1-2,Supermercado,AR-B,Independencia 3445,Toledo,Mar Del Plata,Supermercados Toledo S.A.,21,2
1.4683,1.47 kilómetros,1,-38.010516319890584,-57.545398700432656,Mar del Plata III,13-1-125,Autoservicio,AR-B,Alberti 1842,Cooperativa Obrera Limitada de Consumo y Vivienda,Mar del Plata,Cooperativa Obrera Limitada de Consumo y Vivienda,13,125
1.5634,1.56 kilómetros,1,-38.0088383,-57.5419295,Colon,21-1-1,Hipermercado,AR-B,Colon 1554,Toledo,Mar Del Plata,Supermercados Toledo S.A.,21,1
1.5661,1.57 kilómetros,1,-38.0126,-57.5652,PV Independencia.,9-1-942,Hipermercado,AR-B,Avenida Independencia 3705,Vea,MAR DEL PLATA,Jumbo Retail Argentina S.A.,9,942
1.5885,1.59 kilómetros,1,-38.012295,-57.546107,BSAS-M DEL PLATA-ALDREY SH-MU,2011-1-280,Supermercado,AR-B,Sarmiento 2685,Musimundo,MAR DEL PLATA,Electronica Megatone S.A,2011,280
1.6412,1.64 kilómetros,1,-38.0146028,-57.5614816,Saavedra,21-1-17,Supermercado,AR-B,Saavedra 2602,Toledo,Mar Del Plata,Supermercados Toledo S.A.,21,17
1.7472,1.75 kilómetros,1,-38.0123890,-57.5432800,Mar Del Plata Shopping,2002-1-174,Tradicional,AR-B,Sarmiento 2685,Fravega,Mar Del Plata,FRAVEGA S A C I E I,2002,174
1.773,1.77 kilómetros,2,-38.0129,-57.5436,Rawson y Alvear.,9-2-231,Supermercado,AR-B,Rawson Guillermo 1199,Disco,MAR DEL PLATA,Jumbo Retail Argentina S.A.,9,231
2.1449,2.14 kilómetros,1,-38.016185,-57.542077,Mar del Plata II [Guemes 2968],24-1-324,Supermercado,AR-B,Guemes 2968,SIMPLICITY,MAR DEL PLATA,Farmacity S.A.,24,324
2.5109,2.51 kilómetros,1,-38.0187183,-57.5730078,Pinitos,21-1-3,Supermercado,AR-B,Independencia 4466,Toledo,Mar Del Plata,Supermercados Toledo S.A.,21,3
2.5608,2.56 kilómetros,1,-38.0020402,-57.5852835,Jara,21-1-14,Supermercado,AR-B,Av. Jara 3560,Toledo,Mar Del Plata,Supermercados Toledo S.A.,21,14
2.7948,2.79 kilómetros,2,-38.0244,-57.5659,J. B. Justo..,9-2-55,Supermercado,AR-B,Juan B. Justo 2367,Disco,MAR DEL PLATA,Jumbo Retail Argentina S.A.,9,55
3.0509,3.05 kilómetros,1,-37.9779232,-57.5761531,Libertad,21-1-18,Hipermercado,AR-B,Libertad 5750,Toledo,Mar Del Plata,Supermercados Toledo S.A.,21,18
3.0625,3.06 kilómetros,1,-38.0254359,-57.5709071,Talcahuano,21-1-7,Supermercado,AR-B,Talcahuano 346,Toledo,Mar Del Plata,Supermercados Toledo S.A.,21,7
3.302,3.30 kilómetros,1,-38.0270803,-57.5395204,Matheu,21-1-28,Supermercado,AR-B,Matheu 307,Toledo,Mar Del Plata,Supermercados Toledo S.A.,21,28
3.5493,3.55 kilómetros,1,-37.9688563,-57.5497341,Constitucion,21-1-9,Supermercado,AR-B,Av.Constitucion 4386,Toledo,Mar Del Plata,Supermercados Toledo S.A.,21,9
3.8617,3.86 kilómetros,1,-38.0350613,-57.5521354,Juan B. Justo,21-1-11,Hipermercado,AR-B,Juan B. Justo 750,Toledo,Mar Del Plata,Supermercados Toledo S.A.,21,11
3.8822,3.88 kilómetros,1,-37.9775913,-57.5896802,Luro,21-1-4,Supermercado,AR-B,Luro 6701,Toledo,Mar Del Plata,Supermercados Toledo S.A.,21,4
3.8899,3.89 kilómetros,1,-37.96547,-57.55295,TEJEDOR,19-1-02039,Autoservicio,AR-B,Av. Constitucion Y Tejedor 0,FULL,MAR DEL PLATA,Operadora de Estaciones de Servicios S.A.,19,02039
4.1174,4.12 kilómetros,1,-37.9967229,-57.6028425,Regional,21-1-21,Hipermercado,AR-B,Juan B.Justo 6550,Toledo,Mar Del Plata,Supermercados Toledo S.A.,21,21
4.414,4.41 kilómetros,1,-38.0312389,-57.5879645,Peralta Ramos,21-1-10,Supermercado,AR-B,Peralta Ramos 1766,Toledo,Mar Del Plata,Supermercados Toledo S.A.,21,10
4.5822,4.58 kilómetros,2,-37.9600,-57.5668,Constitución.,9-2-58,Supermercado,AR-B,Avenida Constitucion 6069,Disco,MAR DEL PLATA,Jumbo Retail Argentina S.A.,9,58
4.6955,4.70 kilómetros,1,-37.9694353,-57.5925867,180,21-1-23,Supermercado,AR-B,Libertad 7388,Toledo,Mar Del Plata,Supermercados Toledo S.A.,21,23
4.867,4.87 kilómetros,1,-38.0408865,-57.5775393,39,21-1-27,Hipermercado,AR-B,Agote 1925,Toledo,Mar Del Plata,Supermercados Toledo S.A.,21,27
4.9071,4.91 kilómetros,1,-37.95745091924479,-57.56933015589311,Mar del Plata II,13-1-93,Hipermercado,AR-B,Av. Constitución 6581,Cooperativa Obrera Limitada de Consumo y Vivienda,Mar del Plata,Cooperativa Obrera Limitada de Consumo y Vivienda,13,93
4.9814,4.98 kilómetros,1,-37.959748,-57.580165,EASY MAR DEL PLATA,3001-1-152,Supermercado,AR-B,Ruta 2 Y Avenida Della Paollera 0,EASY,Mar del Plata,EASY S.A.,3001,152
5.1647,5.16 kilómetros,1,-38.0469,-57.5535,Edison.,9-1-241,Supermercado,AR-B,Edison Thomas Alva 1118,Vea,MAR DEL PLATA,Jumbo Retail Argentina S.A.,9,241
5.2424,5.24 kilómetros,1,-37.9532482,-57.5532565,Estrada,21-1-26,Supermercado,AR-B,Estrada 5525,Toledo,Mar Del Plata,Supermercados Toledo S.A.,21,26
5.5471,5.55 kilómetros,1,-37.953878,-57.579192,Mar del Plata,10-1-22,Hipermercado,AR-B,Av. Constitución 7598,Hipermercado Carrefour,Mar del Plata,INC S.A.,10,22
5.8073,5.81 kilómetros,1,-38.0526,-57.5610,Mar del Plata I,13-1-92,Supermercado,AR-B,Fortunato De La Plaza 3471,Cooperativa Obrera Limitada de Consumo y Vivienda,Mar del Plata,Cooperativa Obrera Limitada de Consumo y Vivienda,13,92
13.5398,13.54 kilómetros,1,-38.00935567907412,-57.70994455920754,Batán,13-1-115,Autoservicio,AR-B,Diag. Mar Del Plata Y Calle 35 35,Cooperativa Obrera Limitada de Consumo y Vivienda,Batán,Cooperativa Obrera Limitada de Consumo y Vivienda,13,115
34.0311,34.03 kilómetros,1,-38.2422279,-57.7947644,Miramar,21-1-22,Hipermercado,AR-B,Av.Mitre 1850,Toledo,Miramar,Supermercados Toledo S.A.,21,22
38.7848,38.78 kilómetros,1,-38.2663,-57.8432,Miramar,9-1-983,Supermercado,AR-B,Calle 36 109,Vea,MIRAMAR,Jumbo Retail Argentina S.A.,9,983
62.756,62.76 kilómetros,1,-37.833135,-58.237878,Balcarce,10-1-58,Hipermercado,AR-B,Av. San Martín 405,Hipermercado Carrefour,Balcarce,INC S.A.,10,58
64.0019,64.00 kilómetros,6,-37.848297,-58.258285,Agapantus.Balcarce,36-6-40,Autoservicio,AR-B,Bv. Kelly 734,SuperCLC,Balcarce,SUPERCLC S.A.,36,40
64.0822,64.08 kilómetros,1,-37.8496010,-58.2596854,Balcarce,2005-1-28,Autoservicio,AR-B,Calle 21 650,Naldo,Balcarce,Naldo Lombardi SA,2005,28
64.2226,64.22 kilómetros,1,-37.8494919,-58.261301,Balcarce,21-1-19,Supermercado,AR-B,Av Kelly 792,Toledo,Balcarce,Supermercados Toledo S.A.,21,19
96.2223,96.22 kilómetros,2,-37.2611,-56.9869,Gesell Boulevard.,9-2-45,Supermercado,AR-B,Boulevard Y 112 0,Disco,VILLA GESELL,Jumbo Retail Argentina S.A.,9,45
96.2929,96.29 kilómetros,1,-37.261552072642736,-56.98444443880908,Villa Gesell,13-1-130,Autoservicio,AR-B,Bolulevard Silvio Gesell Y Paseo 113,Cooperativa Obrera Limitada de Consumo y Vivienda,Villa Gesell,Cooperativa Obrera Limitada de Consumo y Vivienda,13,130
96.4645,96.46 kilómetros,2,-37.2636,-56.9766,Gesell Central.,9-2-50,Supermercado,AR-B,Avenida 3 1081,Disco,VILLA GESELL,Jumbo Retail Argentina S.A.,9,50
98.4449,98.44 kilómetros,1,-37.24497,-56.97187,VILLA GESELL,19-1-02011,Autoservicio,AR-B,Av. Buenos Aires Y Blvd Gesell 0,FULL,VILLA GESELL,Operadora de Estaciones de Servicios S.A.,19,02011
105.0329,105.03 kilómetros,1,-37.185485,-56.951625,MADARIAGA ,12-1-178,Hipermercado,AR-B,Ruta 11 Km 404,COTO CICSA,Gral Madariaga,Coto Centro Integral de Comercialización S.A.,12,178
106.7311,106.73 kilómetros,1,-37.065288,-57.837571,LAS ARMAS,3-1-1682,Autoservicio,AR-B,Ruta 2 298,DEHEZA S.A.I.C.F. e I.,LAS ARMAS,Deheza S.A.I.C.F. e I.,3,1682
109.0874,109.09 kilómetros,1,-38.16471323152355,-58.78192359206878,Lobería,13-1-112,Supermercado,AR-B,Av. San Martín 143,Cooperativa Obrera Limitada de Consumo y Vivienda,Lobería,Cooperativa Obrera Limitada de Consumo y Vivienda,13,112
115.1868,115.19 kilómetros,1,-37.11209488408307,-56.88214382030733,Pinamar,13-1-137,Supermercado,AR-B,Av. Intermedanos 288,Cooperativa Obrera Limitada de Consumo y Vivienda,Pinamar,Cooperativa Obrera Limitada de Consumo y Vivienda,13,137
115.6891,115.69 kilómetros,1,-37.108878,-56.877853,INTERMEDANOS,3-1-1450,Autoservicio,AR-B,Av. Intermedanos 50,DEHEZA S.A.I.C.F. e I.,PINAMAR,Deheza S.A.I.C.F. e I.,3,1450
115.9121,115.91 kilómetros,1,-37.11009,-56.87050,PINAMAR,19-1-01847,Autoservicio,AR-B,Jupiter Y Jason 0,FULL,PCIA. BS.AS.,Operadora de Estaciones de Servicios S.A.,19,01847
115.9716,115.97 kilómetros,2,-37.1082,-56.8731,Pinamar.,9-2-49,Supermercado,AR-B,Rivadavia Y Tororas 0,Disco,PINAMAR,Jumbo Retail Argentina S.A.,9,49
116.0412,116.04 kilómetros,1,-37.1121458,-56.8635215,Pinamar,21-1-34,Supermercado,AR-B,Rivadavia 220,Toledo,Pinamar,Supermercados Toledo S.A.,21,34
118.2533,118.25 kilómetros,1,-38.57077746377913,-58.69759494031314,Quequen,13-1-72,Supermercado,AR-B,Calle 519 892,Cooperativa Obrera Limitada de Consumo y Vivienda,Quequen,Cooperativa Obrera Limitada de Consumo y Vivienda,13,72
120.0468,120.05 kilómetros,1,-38.56530038410667,-58.72602722949972,Necochea I,13-1-38,Supermercado,AR-B,Av. 59 1202,Cooperativa Obrera Limitada de Consumo y Vivienda,Necochea,Cooperativa Obrera Limitada de Consumo y Vivienda,13,38
120.141,120.14 kilómetros,1,-38.5611,-58.7305,NECOCHEA,9-1-51,Supermercado,AR-B,Av. 59 Esq. Calle 38 1660,Vea,NECOCHEA,Jumbo Retail Argentina S.A.,9,51
120.2287,120.23 kilómetros,1,-38.56006624534429,-58.732455241689706,Necochea III,13-1-134,Autoservicio,AR-B,Avenida 59 1885,Cooperativa Obrera Limitada de Consumo y Vivienda,Necochea,Cooperativa Obrera Limitada de Consumo y Vivienda,13,134
120.6085,120.61 kilómetros,1,-38.5526,-58.7431,BAZAR AVENIDA SA - Necochea,2008-1-50,Tradicional,AR-B,Calle 64 2941,MEGATONE,Necochea,BAZAR AVENIDA S.A.,2008,50
120.6811,120.68 kilómetros,1,-38.55269,-58.743997,BSAS-NECOCHEA-C61-MU,2011-1-256,Supermercado,AR-B,Calle 61 2976,Musimundo,NECOCHEA,Electronica Megatone S.A,2011,256
120.6828,120.68 kilómetros,1,-38.5528962,-58.7438668,Necochea 2,21-1-33,Autoservicio,AR-B,Av. 59 Nro 2815,Toledo,Necochea,Supermercados Toledo S.A.,21,33
120.7342,120.73 kilómetros,1,-38.55631807854196,-58.74200582838057,Necochea II,13-1-39,Supermercado,AR-B,Av. 58 3059,Cooperativa Obrera Limitada de Consumo y Vivienda,Necochea,Cooperativa Obrera Limitada de Consumo y Vivienda,13,39
120.7388,120.74 kilómetros,1,-38.5524935,-58.7449079,Necochea,2005-1-31,Supermercado,AR-B,Calle 64 2915,Naldo,Necochea,Naldo Lombardi SA,2005,31
121.568,121.57 kilómetros,1,-38.5609109,-58.7496625,Necochea,21-1-20,Hipermercado,AR-B,Av. 58 3752,Toledo,Necochea,Supermercados Toledo S.A.,21,20
156.6824,156.68 kilómetros,1,-37.324111,-59.114568,Tandil,10-1-31,Hipermercado,AR-B,Panamá 351,Hipermercado Carrefour,Tandil,INC S.A.,10,31
157.204,157.20 kilómetros,1,-37.33172,-59.12654,TANDIL II,19-1-01956,Autoservicio,AR-B,Avellaneda 999 Y Bolivar 0,FULL,TANDIL,Operadora de Estaciones de Servicios S.A.,19,01956
157.927,157.93 kilómetros,1,-37.3270,-59.1326,Tandil,9-1-711,Supermercado,AR-B,Alem Leandro Niceforo 447,Vea,TANDIL,Jumbo Retail Argentina S.A.,9,711
158.1346,158.13 kilómetros,1,-37.3282650,-59.1361350,Tandil,2005-1-18,Supermercado,AR-B,Belgrano 684,Naldo,Tandil,Naldo Lombardi SA,2005,18
158.1484,158.15 kilómetros,2,-37.326474,-59.135087,Tandil II,10-2-134,Supermercado,AR-B,9 De Julio 548,Market,Tandil,INC S.A.,10,134
158.2524,158.25 kilómetros,1,-37.32536,-59.13566,PBA TANDIL,24-1-336,Supermercado,AR-B,9 De Julio 626,SIMPLICITY,TANDIL,Farmacity S.A.,24,336
159.7848,159.78 kilómetros,1,-37.314540,-59.147927,Tandil III,10-1-57,Hipermercado,AR-B,Av. Del Valle 324,Hipermercado Carrefour,Tandil,INC S.A.,10,57
161.4272,161.43 kilómetros,1,-36.72084,-56.68980,MAR DE AJO,19-1-01727,Autoservicio,AR-B,Av. Libertador Gral San Martin 0,FULL,Mar de Ajo,Operadora de Estaciones de Servicios S.A.,19,01727
161.9162,161.92 kilómetros,1,-36.7214462,-56.6768593,MAR DE AJO ,12-1-49,Hipermercado,AR-B,San Martin 251,COTO CICSA,Mar De Ajo,Coto Centro Integral de Comercialización S.A.,12,49
164.8914,164.89 kilómetros,2,-36.6882,-56.6835,San Bernardo.,9-2-248,Supermercado,AR-B,Santiago Del Estero 2690,Disco,SAN BERNARDO DEL TUYU,Jumbo Retail Argentina S.A.,9,248
174.1943,174.19 kilómetros,1,-36.58216639,-56.71463675,MAR DEL TUYU ,12-1-204,Hipermercado,AR-B,Ruta 11 Km 330,COTO CICSA,General Lavalle,Coto Centro Integral de Comercialización S.A.,12,204
192.2068,192.21 kilómetros,5,-36.775847,-59.090451,Caluc.Rauch,36-5-73,Autoservicio,AR-B,Av. San Martín 499,SuperCLC,Rauch,SUPERCLC S.A.,36,73
193.9226,193.92 kilómetros,1,-36.25743,-57.70928,DOLORES TIENDA,19-1-03300,Autoservicio,AR-B,Ruta Nacional 2 Km 202.300 Asc 0,FULL,DOLORES,Operadora de Estaciones de Servicios S.A.,19,03300
196.7861,196.79 kilómetros,1,-36.3588,-56.7186,SAN CLEMENTE,9-1-52,Supermercado,AR-B,Calle 3 3189,Vea,SAN CLEMENTE DEL TUYU,Jumbo Retail Argentina S.A.,9,52
201.3486,201.35 kilómetros,1,-37.67561636653722,-59.805969035720864,Benito Juarez,13-1-40,Supermercado,AR-B,Av. Mitre 87,Cooperativa Obrera Limitada de Consumo y Vivienda,Benito Juarez,Cooperativa Obrera Limitada de Consumo y Vivienda,13,40
201.6042,201.60 kilómetros,1,-37.6725617,-59.8081677,Benito Juarez,2005-1-29,Supermercado,AR-B,Libertad 71,Naldo,Benito Juarez,Naldo Lombardi SA,2005,29
241.1975,241.20 kilómetros,1,-38.3706,-60.2680,Tres Arroyos III,13-1-45,Supermercado,AR-B,Av. Belgrano 838,Cooperativa Obrera Limitada de Consumo y Vivienda,Tres Arroyos,Cooperativa Obrera Limitada de Consumo y Vivienda,13,45
241.4503,241.45 kilómetros,1,-38.3825,-60.2685,Tres Arroyos I,13-1-27,Supermercado,AR-B,Av. Moreno 745,Cooperativa Obrera Limitada de Consumo y Vivienda,Tres Arroyos,Cooperativa Obrera Limitada de Consumo y Vivienda,13,27
241.7205,241.72 kilómetros,1,-38.3773,-60.2727,SM 704 Tres Arroyos.,9-1-704,Supermercado,AR-B,Calle 1810 124,Vea,TRES ARROYOS,Jumbo Retail Argentina S.A.,9,704
241.9354,241.94 kilómetros,1,-38.38409,-60.27379,ACA LAVALLE,19-1-01984,Autoservicio,AR-B,Colon Y Lavalle 0,FULL,TRES ARROYOS,Operadora de Estaciones de Servicios S.A.,19,01984
241.9564,241.96 kilómetros,1,-38.3778574,-60.2753172,Tres Arroyos,2005-1-27,Supermercado,AR-B,Calle 1810 64,Naldo,Tres Arroyos,Naldo Lombardi SA,2005,27
242.0611,242.06 kilómetros,1,-38.3780,-60.2765,Tres Arroyos II,13-1-30,Supermercado,AR-B,Colón 33,Cooperativa Obrera Limitada de Consumo y Vivienda,Tres Arroyos,Cooperativa Obrera Limitada de Consumo y Vivienda,13,30
242.7231,242.72 kilómetros,1,-38.36092,-60.28755,TRES ARROYOS,19-1-00857,Autoservicio,AR-B,Sadi Carnot 1694 1694,FULL,TRES ARROYOS,Operadora de Estaciones de Servicios S.A.,19,00857
