distanciaNumero,distanciaDescripcion,banderaId,lat,lng,sucursalNombre,id,sucursalTipo,provincia,direccion,banderaDescripcion,localidad,comercioRazonSocial,comercioId,sucursalId
0.596,0.60 kilómetros,1,-26.8255,-65.2168,Sarmiento.,9-1-125,Supermercado,AR-T,Av. Sarmiento Domiengo Faustino 750,Vea,SAN MIGUEL DE TUCUMAN,Jumbo Retail Argentina S.A.,9,125
0.8659,0.87 kilómetros,1,-26.8306,-65.2177,Tucumán V.,9-1-659,Supermercado,AR-T,Cordoba Provincia De 649,Vea,SAN MIGUEL DE TUCUMAN,Jumbo Retail Argentina S.A.,9,659
0.9895,0.99 kilómetros,1,-26.82759,-65.23178,MATE DE LUNA II,19-1-02291,Autoservicio,AR-T,Av.Mate De Luna Y Colon 0,FULL,TUCUMAN,Operadora de Estaciones de Servicios S.A.,19,02291
1.097,1.10 kilómetros,1,-26.816501,-65.215582,TUCU-SAN MIGUEL-MITRE-MU,2011-1-239,Autoservicio,AR-T,Avda Bartolome Mitre 876,Musimundo,SAN MIGUEL DE TUCUMAN,Electronica Megatone S.A,2011,239
1.1094,1.11 kilómetros,1,-26.8328,-65.2282,Tucumán VI.,9-1-660,Supermercado,AR-T,Avenida Alem Leandro Niceforo 240,Vea,SAN MIGUEL DE TUCUMAN,Jumbo Retail Argentina S.A.,9,660
1.4941,1.49 kilómetros,1,-26.82734,-65.23720,MATE DE LUNA I,19-1-02362,Autoservicio,AR-T,Av.Mate De Luna Y Colon 0,FULL,TUCUMAN,Operadora de Estaciones de Servicios S.A.,19,02362
1.5301,1.53 kilómetros,1,-26.8276,-65.2077,BAZAR AVENIDA SA - Tucuman 1,2008-1-418,Tradicional,AR-T,Mendoza 746,MEGATONE,San Miguel De Tucuman,BAZAR AVENIDA S.A.,2008,418
1.6633,1.66 kilómetros,1,-26.8346,-65.2346,Colón y Roca,9-1-727,Supermercado,AR-T,Colón Y Roca 650,Vea,SAN MIGUEL DE TUCUMAN,Jumbo Retail Argentina S.A.,9,727
1.6759,1.68 kilómetros,1,-26.814605,-65.209515,Tucumán III,10-1-46,Hipermercado,AR-T,Av. Catamarca 1116,Hipermercado Carrefour,San Miguel de Tucumán,INC S.A.,10,46
1.7207,1.72 kilómetros,2,-26.830652,-65.206887,Tucumán I,10-2-176,Supermercado,AR-T,24 De Septiembre 653,Market,San Miguel de Tucumán,INC S.A.,10,176
1.7299,1.73 kilómetros,2,-26.828409,-65.205862,DIGGIT TUCUMAN,2003-2-7900,Tradicional,AR-T,Muñecas 150,DIGGIT,SAN MIGUEL DE TUCUMAN,GMRA S.A.,2003,7900
1.7354,1.74 kilómetros,1,-26.8398,-65.2228,Roca.,9-1-134,Supermercado,AR-T,Avenida Roca Pres Gral Julio Argentino 759,Vea,SAN MIGUEL DE TUCUMAN,Jumbo Retail Argentina S.A.,9,134
1.7549,1.75 kilómetros,1,-26.83,-65.2062,BAZAR AVENIDA SA - Tucuman 2,2008-1-430,Tradicional,AR-T,Idelfonzo Munecas 48,MEGATONE,San Miguel De Tucuman,BAZAR AVENIDA S.A.,2008,430
1.7715,1.77 kilómetros,1,-26.8234,-65.2404,Mate de Luna,9-1-73,Supermercado,AR-T,Avenida Mate De Luna Fernando 2852,Vea,SAN MIGUEL DE TUCUMAN,Jumbo Retail Argentina S.A.,9,73
1.8907,1.89 kilómetros,1,-26.826312,-65.203737,TUCU-SAN MIGUEL-25MAY-MU,2011-1-253,Autoservicio,AR-T,25 De Mayo De 1810 346,Musimundo,SAN MIGUEL DE TUCUMAN,Electronica Megatone S.A,2011,253
1.9219,1.92 kilómetros,1,-26.83612,-65.20862,TUCUMAN,19-1-02446,Autoservicio,AR-T,B. Araoz Y W.Pose 0,FULL,S.M. DE TUCUMAN,Operadora de Estaciones de Servicios S.A.,19,02446
1.9224,1.92 kilómetros,1,-26.8373,-65.2100,Terminal.,9-1-71,Supermercado,AR-T,Av. Brigado Teran 200 L.S. 1 0,Vea,SAN MIGUEL DE TUCUMAN,Jumbo Retail Argentina S.A.,9,71
1.9228,1.92 kilómetros,1,-26.826240,-65.203401,TUC - Tucuman - 25 de Mayo,2009-1-58,Supermercado,AR-T,25 De Mayo 355,CETROGAR,San Miguel,CETROGAR  S.A,2009,58
1.9975,2.00 kilómetros,1,-26.837754,-65.23577,TUCU-SAN MIGUEL-NESTOR K-MU,2011-1-231,Autoservicio,AR-T,Avda Nestor Kirchner 2310,Musimundo,SAN MIGUEL DE TUCUMAN,Electronica Megatone S.A,2011,231
