distanciaNumero,distanciaDescripcion,banderaId,lat,lng,sucursalNombre,id,sucursalTipo,provincia,direccion,banderaDescripcion,localidad,comercioRazonSocial,comercioId,sucursalId
0.5682,0.57 kilómetros,2,-27.790376,-64.259279,Santiago del Estero 2 [Belgrano 681/683/685/687],24-2-277,Supermercado,AR-G,Belgrano 681,FARMACITY,Santiago Del Estero,Farmacity S.A.,24,277
0.7221,0.72 kilómetros,1,-27.7886,-64.2612,Sgo.del Estero II,9-1-887,Supermercado,AR-G,Av. Belgrano Sur N° 433/459 433,Vea,SANTIAGO DEL ESTERO,Jumbo Retail Argentina S.A.,9,887
0.7798,0.78 kilómetros,2,-27.788285,-64.259571,Santiago del Estero 3 [Avellaneda119],24-2-305,Supermercado,AR-G,Avellaneda 119,FARMACITY,2 Arboles,Farmacity S.A.,24,305
0.8315,0.83 kilómetros,1,-27.7877460,-64.2598770,Santiago Del Estero,2002-1-168,Tradicional,AR-G,Peatonal Tucuman 263,Fravega,Santiago Del Estero,FRAVEGA S A C I E I,2002,168
0.8721,0.87 kilómetros,1,-27.787285,-64.262415,SGES-SGO DEL ESTERO-PELLEG-MU,2011-1-232,Supermercado,AR-G,Pres Carlos Pellegrini 1,Musimundo,SANTIAGO DEL ESTERO,Electronica Megatone S.A,2011,232
1.1431,1.14 kilómetros,1,-27.7848,-64.2612,BAZAR AVENIDA SA - Santiago del Estero,2008-1-608,Tradicional,AR-G,Peatonal Tucuman 175,MEGATONE,Santiago Del Estero,BAZAR AVENIDA S.A.,2008,608
1.2094,1.21 kilómetros,2,-27.784205,-64.261909,Santiago del Estero [Tucuman 244],24-2-173,Supermercado,AR-G,Tucuman 244,FARMACITY,Santiago Del Estero,Farmacity S.A.,24,173
1.2108,1.21 kilómetros,1,-27.784193,-64.261937,SDE - Santiago Del Estero - PE Tucuman,2009-1-23,Supermercado,AR-G,Peatonal Tucuman 249,CETROGAR,Santiago del Estero,CETROGAR  S.A,2009,23
1.2628,1.26 kilómetros,1,-27.7837300,-64.2621110,Santiago,2005-1-73,Supermercado,AR-G,Peatonal Tucumán 283,Naldo,Santiago Del Estero,Naldo Lombardi SA,2005,73
1.3026,1.30 kilómetros,2,-27.783948,-64.257353,Santiago del Estero 4 [Av. Roca S/N],24-2-319,Supermercado,AR-G,Av.Roca 537,FARMACITY,Bandera Bajada,Farmacity S.A.,24,319
1.8657,1.87 kilómetros,1,-27.7786,-64.2578,Santiago.,9-1-13,Hipermercado,AR-G,Av. Rivadavia Esq. Ejercito Argentino 0,Vea,SANTIAGO DEL ESTERO,Jumbo Retail Argentina S.A.,9,13
1.8876,1.89 kilómetros,1,-27.778397,-64.257813,EASY SANTIAGO DEL ESTERO,3001-1-170,Supermercado,AR-G,Avenida Rivadavia Y Ejercito Argentino 0,EASY,SANTIAGO DEL ESTERO,EASY S.A.,3001,170
1.9922,1.99 kilómetros,2,-27.809677,-64.249649,Santiago,11-2-1012,Hipermercado,AR-G,Av Belgrano Sur 2663,Changomas,SANTIAGO DEL ESTERO,Wal Mart Argentina S.R.L.,11,1012
3.7548,3.75 kilómetros,2,-27.828130,-64.270004,Santiago Sur,11-2-1080,Hipermercado,AR-G,Avenida Leopoldo Lugones Esq. Pedro Cont None,Changomas,SANTIAGO DEL ESTERO,Wal Mart Argentina S.R.L.,11,1080
7.4129,7.41 kilómetros,2,-27.7310039,-64.2400559,Santiago del Estero 5 [Leandro N. Alem 145],24-2-326,Supermercado,AR-G,Leandro N. Alem 145,FARMACITY,Abrita Grande,Farmacity S.A.,24,326
7.4506,7.45 kilómetros,1,-27.7298,-64.2436,La Banda,9-1-730,Supermercado,AR-G,25 De Mayo Y Chacabuco 0,Vea,SANTIAGO DEL ESTERO,Jumbo Retail Argentina S.A.,9,730
7.5788,7.58 kilómetros,1,-27.729907,-64.238340,SDE - La Banda - L N Alem,2009-1-20,Supermercado,AR-G,Leandro N. Alem 321,CETROGAR,La Banda,CETROGAR  S.A,2009,20
7.6157,7.62 kilómetros,1,-27.729696,-64.23785,SGES-LA BANDA-ALEM-MU,2011-1-252,Autoservicio,AR-G,Leandro Niceforo Alem 385,Musimundo,LA BANDA,Electronica Megatone S.A,2011,252
38.8172,38.82 kilómetros,1,-27.9254,-63.8957,BAZAR AVENIDA SA - Fernandez,2008-1-439,Tradicional,AR-G,Jose Fernandez Y Libertad 0,MEGATONE,Fernandez,BAZAR AVENIDA S.A.,2008,439
67.3081,67.31 kilómetros,1,-27.498682,-64.856596,SGES-TERMAS RIO HONDO-RIVAD-MU,2011-1-255,Autoservicio,AR-G,Rivadavia 637,Musimundo,TERMAS DE RIO HONDO,Electronica Megatone S.A,2011,255
126.9241,126.92 kilómetros,1,-28.642593,-65.130548,SGES-FRIAS-SM-MU,2011-1-242,Autoservicio,AR-G,Granaderos De San Martin 425,Musimundo,FRIAS,Electronica Megatone S.A,2011,242
136.0212,136.02 kilómetros,1,-27.5889,-65.6202,Stop Alberdi.,9-1-906,Supermercado,AR-T,Rivadavia 732,Vea,JUAN BAUTISTA ALBERDI,Jumbo Retail Argentina S.A.,9,906
138.1737,138.17 kilómetros,1,-26.841087,-65.159688,TUC - Banda Rio Sali - Av G M de Jesus Diaz ,2009-1-68,Supermercado,AR-T,Avenida Gregorio Jesus Diaz 217,CETROGAR,Banda de Rio Sali,CETROGAR  S.A,2009,68
139.0735,139.07 kilómetros,2,-26.837785,-65.169380,Rio Sali,11-2-1033,Supermercado,AR-T,Guatemala Y Av. San Martin None,Changomas,BANDA DEL RIO SALI,Wal Mart Argentina S.R.L.,11,1033
139.4419,139.44 kilómetros,1,-27.056055,-65.402168,TUC - Famailla - Av S Martin  ,2009-1-70,Supermercado,AR-T,Av. San Martin 236,CETROGAR,Famailla,CETROGAR  S.A,2009,70
140.1074,140.11 kilómetros,2,-26.866111,-65.221107,Tucumán,11-2-1082,Supermercado,AR-T,Avenida Jujuy Y Avenida Democracia None,Changomas,SAN MIGUEL DE TUCUMAN,Wal Mart Argentina S.R.L.,11,1082
140.1188,140.12 kilómetros,2,-27.350410,-65.589111,Concepción,11-2-1088,Hipermercado,AR-T,Avenida Güemes Esq. Francia None,Changomas,CONCEPCION,Wal Mart Argentina S.R.L.,11,1088
140.3716,140.37 kilómetros,1,-27.345999,-65.58995,TUCU-CONCEPCION-SM-MU,2011-1-243,Autoservicio,AR-T,San Martin 1235,Musimundo,CONCEPCION,Electronica Megatone S.A,2011,243
140.6988,140.70 kilómetros,1,-27.1699,-65.4999,Stop Monteros.,9-1-903,Supermercado,AR-T,Alberdi 0,Vea,MONTEROS VIEJO,Jumbo Retail Argentina S.A.,9,903
140.715,140.72 kilómetros,1,-27.167752,-65.49871,TUCU-MONTEROS-COLON-MU,2011-1-235,Autoservicio,AR-T,Colon 163,Musimundo,MONTEROS,Electronica Megatone S.A,2011,235
140.825,140.82 kilómetros,1,-26.8229,-65.1770,Gobernador del Campo,9-1-958,Supermercado,AR-T,Avenida Del Campo Gdor 1150,Vea,SAN MIGUEL DE TUCUMAN,Jumbo Retail Argentina S.A.,9,958
140.8806,140.88 kilómetros,1,-27.349984,-65.597161,TUC - Concepcion - S Martin,2009-1-19,Supermercado,AR-T,San Martin 1363,CETROGAR,Concepcion,CETROGAR  S.A,2009,19
141.2051,141.21 kilómetros,1,-27.3503,-65.6008,Stop Concepción.,9-1-904,Supermercado,AR-T,Rivadavia 36,Vea,CONCEPCION,Jumbo Retail Argentina S.A.,9,904
141.4212,141.42 kilómetros,1,-26.852726,-65.224345,Comodin 26,6-1-26,Supermercado,AR-T,Avda. Alem Esq. Lavaissé 1796,Supermercados Comodin,San Miguel de Tucumán,Alberdi S.A.,6,26
141.7479,141.75 kilómetros,1,-26.8373,-65.2100,Terminal.,9-1-71,Supermercado,AR-T,Av. Brigado Teran 200 L.S. 1 0,Vea,SAN MIGUEL DE TUCUMAN,Jumbo Retail Argentina S.A.,9,71
141.7557,141.76 kilómetros,1,-26.83612,-65.20862,TUCUMAN,19-1-02446,Autoservicio,AR-T,B. Araoz Y W.Pose 0,FULL,S.M. DE TUCUMAN,Operadora de Estaciones de Servicios S.A.,19,02446
141.8127,141.81 kilómetros,2,-26.830278,-65.202010,Tucumán II,10-2-177,Supermercado,AR-T,San Martín 344,Market,San Miguel de Tucumán,INC S.A.,10,177
142.0992,142.10 kilómetros,2,-26.830652,-65.206887,Tucumán I,10-2-176,Supermercado,AR-T,24 De Septiembre 653,Market,San Miguel de Tucumán,INC S.A.,10,176
142.1089,142.11 kilómetros,1,-26.83,-65.2062,BAZAR AVENIDA SA - Tucuman 2,2008-1-430,Tradicional,AR-T,Idelfonzo Munecas 48,MEGATONE,San Miguel De Tucuman,BAZAR AVENIDA S.A.,2008,430
142.2201,142.22 kilómetros,2,-26.828409,-65.205862,DIGGIT TUCUMAN,2003-2-7900,Tradicional,AR-T,Muñecas 150,DIGGIT,SAN MIGUEL DE TUCUMAN,GMRA S.A.,2003,7900
142.242,142.24 kilómetros,1,-26.826240,-65.203401,TUC - Tucuman - 25 de Mayo,2009-1-58,Supermercado,AR-T,25 De Mayo 355,CETROGAR,San Miguel,CETROGAR  S.A,2009,58
142.2578,142.26 kilómetros,1,-26.826312,-65.203737,TUCU-SAN MIGUEL-25MAY-MU,2011-1-253,Autoservicio,AR-T,25 De Mayo De 1810 346,Musimundo,SAN MIGUEL DE TUCUMAN,Electronica Megatone S.A,2011,253
142.3519,142.35 kilómetros,1,-26.817319,-65.193457,Comodin 24,6-1-24,Hipermercado,AR-T,Avda. Juan B. Justo 1149,Supermercados Comodin,San Miguel de Tucumán,Alberdi S.A.,6,24
