[2022-10-27 03:53:24 PM] INFO -- : ## No existe ../data/sucursales/posadas-27.36708_sucursales.csv
[2022-10-27 03:53:24 PM] INFO -- : ## No existe ../data/sucursales/san_salvador_de_jujuy_sucursales.csv
[2022-10-27 03:53:24 PM] INFO -- : ## No existe ../data/sucursales/bahía_blanca_sucursales.csv
[2022-10-27 03:53:24 PM] INFO -- : ## No existe ../data/sucursales/paraná_sucursales.csv
[2022-10-27 03:53:24 PM] INFO -- : ## No existe ../data/sucursales/merlo_sucursales.csv
[2022-10-27 03:53:24 PM] INFO -- : ## No existe ../data/sucursales/josé_c._paz_sucursales.csv
[2022-10-27 03:53:24 PM] INFO -- : ## No existe ../data/sucursales/quilmes_sucursales.csv
[2022-10-27 03:53:24 PM] INFO -- : ## No existe ../data/sucursales/pilar_sucursales.csv
[2022-10-27 04:11:19 PM] INFO -- : ## No existe path ../data/sucursales/buenos_aires_sucursales.csv
[2022-10-27 04:11:19 PM] INFO -- : ## No existe path ../data/sucursales/córdoba_sucursales.csv
[2022-10-27 04:11:19 PM] INFO -- : ## No existe path ../data/sucursales/rosario_sucursales.csv
[2022-10-27 04:11:19 PM] INFO -- : ## No existe path ../data/sucursales/mendoza_sucursales.csv
[2022-10-27 04:11:19 PM] INFO -- : ## No existe path ../data/sucursales/san_miguel_de_tucumán_sucursales.csv
[2022-10-27 04:11:19 PM] INFO -- : ## No existe path ../data/sucursales/la_plata_sucursales.csv
[2022-10-27 04:11:19 PM] INFO -- : ## No existe path ../data/sucursales/mar_del_plata_sucursales.csv
[2022-10-27 04:11:19 PM] INFO -- : ## No existe path ../data/sucursales/salta_sucursales.csv
[2022-10-27 04:11:19 PM] INFO -- : ## No existe path ../data/sucursales/santa_fe_sucursales.csv
[2022-10-27 04:11:19 PM] INFO -- : ## No existe path ../data/sucursales/san_juan_sucursales.csv
[2022-10-27 04:11:19 PM] INFO -- : ## No existe path ../data/sucursales/resistencia_sucursales.csv
[2022-10-27 04:11:19 PM] INFO -- : ## No existe path ../data/sucursales/santiago_del_estero_sucursales.csv
[2022-10-27 04:11:19 PM] INFO -- : ## No existe path ../data/sucursales/posadas-27.36708_sucursales.csv
[2022-10-27 04:11:19 PM] INFO -- : ## No existe path ../data/sucursales/san_salvador_de_jujuy_sucursales.csv
[2022-10-27 04:11:19 PM] INFO -- : ## No existe path ../data/sucursales/bahía_blanca_sucursales.csv
[2022-10-27 04:11:19 PM] INFO -- : ## No existe path ../data/sucursales/paraná_sucursales.csv
[2022-10-27 04:11:19 PM] INFO -- : ## No existe path ../data/sucursales/merlo_sucursales.csv
[2022-10-27 04:11:19 PM] INFO -- : ## No existe path ../data/sucursales/josé_c._paz_sucursales.csv
[2022-10-27 04:11:19 PM] INFO -- : ## No existe path ../data/sucursales/quilmes_sucursales.csv
[2022-10-27 04:11:19 PM] INFO -- : ## No existe path ../data/sucursales/pilar_sucursales.csv
